Bin,Property,Count,Mean,Median,Std,Min,Max,Q25,Q75
CID_10000000_50000000,cLogP,100,2.8643118000000016,2.6321100000000004,1.7637617617085983,-1.4133999999999938,7.257600000000007,1.7533500000000006,3.917330000000003
CID_10000000_50000000,AromaticRings,100,2.13,2.0,1.211518789692417,0.0,7.0,1.0,3.0
CID_10000000_50000000,TotalRings,100,3.02,3.0,1.435340384787532,0.0,9.0,2.0,4.0
CID_10000000_50000000,Heterocycles,100,1.32,1.0,0.9937176397119802,0.0,4.0,1.0,2.0
CID_10000000_50000000,NumF,100,0.27,0.0,0.8744984132332522,0.0,6.0,0.0,0.0
CID_10000000_50000000,NumCl,100,0.33,0.0,0.6365151334819265,0.0,3.0,0.0,0.25
CID_10000000_50000000,ChiralCenters,100,1.12,0.0,1.7072631533385447,0.0,10.0,0.0,2.0
CID_10000000_50000000,QED,100,0.5917868790550789,0.6258752030136286,0.22472839019658417,0.05198283584759943,0.9431359825242233,0.39735372148383447,0.7637455643797317
CID_50000000_116000000,MW,100,324.48105178041317,300.124894424045,92.31585442011087,180.06551960009,597.1971416180901,259.94164089209,374.36789255102246
CID_50000000_116000000,RotBonds,100,4.9,4.0,2.380476142847616,0.0,15.0,3.0,7.0
CID_50000000_116000000,TPSA,100,69.90060000000001,67.205,26.00608245947261,7.680000000000001,146.35000000000002,50.68,84.0875
CID_50000000_116000000,HAcceptors,100,3.84,4.0,1.6435979257148448,1.0,9.0,3.0,5.0
CID_50000000_116000000,HDonors,100,1.51,1.0,0.7848952835000386,0.0,4.0,1.0,2.0
CID_50000000_116000000,cLogP,100,1.706279000000001,1.6206699999999996,1.8649669059535678,-2.080299999999996,6.782700000000006,0.4286149999999999,2.5942150000000006
CID_50000000_116000000,AromaticRings,100,1.57,1.0,1.0848357879737773,0.0,4.0,1.0,2.0
CID_50000000_116000000,TotalRings,100,2.54,2.0,1.2178802581667556,0.0,6.0,2.0,3.0
CID_50000000_116000000,Heterocycles,100,1.35,1.0,1.028630549848102,0.0,4.0,1.0,2.0
CID_50000000_116000000,NumF,100,0.33,0.0,0.8882510337679881,0.0,6.0,0.0,0.0
CID_50000000_116000000,NumCl,100,0.14,0.0,0.37658754867650884,0.0,2.0,0.0,0.0
CID_50000000_116000000,ChiralCenters,100,0.99,1.0,1.2512216252748969,0.0,5.0,0.0,1.0
CID_50000000_116000000,QED,100,0.6670421161257871,0.7049697893732814,0.1702406876729473,0.19192949879366047,0.9322641105547157,0.5562583704358557,0.8020815888766866
